Word,Word,Category(synonym/antonym/near-antonym/related/identifier),Context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major,Minor,antonym,major version of nanoxml,minor version of nanoxml,,
getResourceiconsgreen_check_ball,getResourceiconsblue_check_ball,identifier,private final static imageicon soldicon new imageiconauctiontablemodel class getresourceiconsgreen_check_ball gif,private final static imageicon boughticon new imageiconauctiontablemodel class getresourceiconsblue_check_ball gif,,
N,m,no,letters a through n,letters a through m,,
POSTed,synchronized,no,this should be posted,this should probably be synchronized,,
sendNoReply,putParameter,no,the sendnoreply method of com apple macos appleevent,the putparameter method of com apple macos appleevent,,
LOGGED,encodesearch,no,,this should be logged,this should be encodesearch,,
Enumerates,Returns,no,enumerates the subobjects of the object,returns the number of subobjects of the object,,
available,identical,no,,if its not available,if its not identical,,
array,others,no,,clear out the array,clear out the others,,
set,identical,no,,if its not set,if its not identical,,
but,just,no,,but to be safe,just to be safe,,
ping,filename,no,,its just a ping,if its just a filename,,
Windows,available,no,,if its not windows,if its not available,,
Lesser,Library,no,,see the gnu lesser general public license for more details,see the gnu library general public license for more details,,
set,Windows,no,,if its not set,if its not windows,,
mac,filename,no,,if its a mac,if its just a filename,,
makeOSType,putParameter,no,,the makeostype method of com apple macos osutils,the putparameter method of com apple macos appleevent,,
EXACT,IS_REGEX,no,,private static final boolean exact true,private static final boolean is_regex true,,
LOGGED,impossible,no,,this should be logged,this should be impossible,,
INEXACT,NOT_REGEX,no,,private static final boolean inexact false,private static final boolean not_regex false,,
there,available,no,,if its not there,if its not available,,
impossible,synchronized,no,,this should be impossible,this should probably be synchronized,,
IDCT,factors,no,,point idct on odd indices for point idct,twiddle factors on odd indices for point idct,point idct on odd indices for point idct,twiddle factors on indices for point idct
blueIcon,boughtIcon,no,,private final static imageicon blueicon new imageiconauctiontablemodel class getresourceiconsblue_ball gif,private final static imageicon boughticon new imageiconauctiontablemodel class getresourceiconsblue_check_ball gif,,
file,creator,related,no,the file type of the finder on a macintosh,the creator code of the finder on a macintosh,,
Dec,Jul,related,no,user morgan schweers date dec,user morgan schweers date jul,,
Aug,Jun,related,no,user morgan schweers date aug,user morgan schweers date jun,,
long,short,related,no,find region boundary for long block case,find region boundary for short block case,,
Forty,Thirty,related,no,forty minutes in microseconds,thirty minutes in microseconds,,
Jul,Oct,related,no,user morgan schweers date jul,user morgan schweers date oct,,
hour,minute,related,no,one hour in microseconds,one minute in microseconds,,
Jan,Oct,related,no,user morgan schweers date jan,user morgan schweers date oct,,
AuctionInfo,AuctionEntry,related,no,throw new runtimeexceptionunexpected value when handling auctioninfo tags,throw new runtimeexceptionunexpected value when handling auctionentry tags,,
number,count,related,no,and the number of times it happened,and a count of times that it has happened,,
Dec,Jan,related,no,user morgan schweers date dec,user morgan schweers date jan,,
to,into,related,no,this calls back to here,this calls back into here,,
read,written,related,no,end for each byte read,end for each byte written,,
day,hour,related,no,one day in microseconds,one hour in microseconds,,
Jul,Jun,related,no,user morgan schweers date jul,user morgan schweers date jun,,
openURL,findFolder,related,no,the openurl method of com apple mrj mrjfileutils,the findfolder method of com apple mrj mrjfileutils,,
Jul,Mar,related,no,user morgan schweers date jul,user morgan schweers date mar,,
Aug,Oct,related,no,user morgan schweers date aug,user morgan schweers date oct,,
content,attributes,related,no,scans the content of the object,scans the attributes of the object,,
OSUtils,AppleEvent,related,no,the makeostype method of com apple macos osutils,the sendnoreply method of com apple macos appleevent,the makeostype method of com apple macos osutils,the putparameter method of com apple macos appleevent
Aug,Jan,related,no,user morgan schweers date aug,user morgan schweers date jan,,
Dec,Aug,related,no,user morgan schweers date dec,user morgan schweers date aug,,
day,minute,related,no,one day in microseconds,one minute in microseconds,,
May,Sep,related,no,user mrs date may,user mrs date sep,,
Nov,Sep,related,no,user mrs date nov,user mrs date sep,,
Jun,Mar,related,no,user morgan schweers date jun,user morgan schweers date mar,,
,,,,,,,
